# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
f,K,alpha,beta,nu,rho,T,shift,lognormal_vol,normal_vol
0.05,0.065,0.0873,0.7,0.9,0.3,5,0,0.354384956521254,0.02012729008069678
0.05,0.1,0.0873,0.7,0.5,-0.4,1,0,0.214258346919045,0.01543163184295853
0.05,0.1,0.0873,0.7,0.9,0.3,5,0,0.4875684340559787,0.034966102112335515
100,50,0.2,1,0.5,-0.4,1,0,0.3011878495654561,21.69010334086565
100,50,0.2,1,0.9,0.3,5,0,0.4012154408250563,28.764155161200556
100,80,0.2,1,0.5,-0.4,1,0,0.22936975804132015,20.523980256305553
100,80,0.2,1,0.9,0.3,5,0,0.2748960640412954,24.487461385698925
100,95,0.2,1,0.5,-0.4,1,0,0.20671644791050925,20.11704658953769
100,95,0.2,1,0.9,0.3,5,0,0.2647277704670532,25.6471139148175
100,105,0.2,1,0.5,-0.4,1,0,0.19666262384210265,20.12052603775228
100,105,0.2,1,0.9,0.3,5,0,0.2825624466349707,28.779401286270275
100,130,0.2,1,0.5,-0.4,1,0,0.1886677013807927,21.53743144505212
100,130,0.2,1,0.9,0.3,5,0,0.3512747964895982,39.92024071586934
100,200,0.2,1,0.5,-0.4,1,0,0.2188596904142355,31.522448924042422
100,200,0.2,1,0.9,0.3,5,0,0.5050707963465585,72.41961936274637
0.03,0.015,0.0035,0,0.5,-0.4,1,0.01,0.18014800698124664,0.005746472513672222
0.03,0.015,0.0035,0,0.9,0.3,5,0.01,0.2331940293578286,0.007427632436861311
0.03,0.024,0.0035,0,0.5,-0.4,1,0.01,0.11832007086081447,0.004366618949360903
0.03,0.024,0.0035,0,0.9,0.3,5,0.01,0.13612954570365648,0.005018446977491712
0.03,0.028499999999999998,0.0035,0,0.5,-0.4,1,0.01,0.09497581662525986,0.0037261313146993986
0.03,0.028499999999999998,0.0035,0,0.9,0.3,5,0.01,0.11145465100167061,0.004368459053685888
0.03,0.0315,0.0035,0,0.5,-0.4,1,0.01,0.08410895958671144,0.003426016051991364
0.03,0.0315,0.0035,0,0.9,0.3,5,0.01,0.11954243583919874,0.004865014823923816
0.03,0.039,0.0035,0,0.5,-0.4,1,0.01,0.08045373441770362,0.0035670396285599525
0.03,0.039,0.0035,0,0.9,0.3,5,0.01,0.1658136180311656,0.007346081768792736
0.03,0.06,0.0035,0,0.5,-0.4,1,0.01,0.10957467629184901,0.005873047651122517
0.03,0.06,0.0035,0,0.9,0.3,5,0.01,0.2567736614034584,0.013755470310008074
0.03,0.015,0.035,0.5,0.5,-0.4,1,0.01,0.26437941456407166,0.008424108934340589
0.03,0.015,0.035,0.5,0.9,0.3,5,0.01,0.32464312364639053,0.01029786685025033
0.03,0.024,0.035,0.5,0.5,-0.4,1,0.01,0.20435851635980815,0.007534344039883194
0.03,0.024,0.035,0.5,0.9,0.3,5,0.01,0.23775234676181492,0.008731661833724045
0.03,0.028499999999999998,0.035,0.5,0.5,-0.4,1,0.01,0.18286859989818027,0.007167492727409353
0.03,0.028499999999999998,0.035,0.5,0.9,0.3,5,0.01,0.22834802653058456,0.00891753038924477
