# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
F,K,s,t,r,displacement,call,put,intrinsic
100,100,0.05,10,0.03,0,4.6680932609295525,4.6680932609295525,0
100,100,0.25,0.02,0.03,0,1.4095545136486842,1.4095545136486842,0
100,100,0.25,1,0.03,0,9.653647626602913,9.653647626602913,0
100,100,0.25,10,0.03,0,22.770323402192837,22.770323402192837,0
100,100,0.8,0.02,0.03,0,4.508404759981302,4.508404759981302,0
100,100,0.8,1,0.03,0,30.16566699241389,30.16566699241389,0
100,100,0.8,10,0.03,0,58.82813704745344,58.82813704745344,0
100,105,0.05,0.02,0.03,0,2.6251230594832003e-13,4.9970008998203115,0
100,105,0.05,1,0.03,0,0.43360610590957743,5.285833773652121,0
100,105,0.05,10,0.03,0,3.158235401887291,6.86232650529588,0
100,105,0.25,0.02,0.03,0,0.13870706733657387,5.135707967156606,0
100,105,0.25,1,0.03,0,7.655695129048963,12.507922796791497,0
100,105,0.25,10,0.03,0,21.52969251813674,25.23378362154533,0
100,105,0.8,0.02,0.03,0,2.5452268589675797,7.542227758787614,0
100,105,0.8,1,0.03,0,28.548165646254326,33.400393313996865,0
100,105,0.8,10,0.03,0,58.453197183876895,62.15728828728549,0
100,120,0.05,0.02,0.03,0,1.997958026226418e-148,19.98800359928011,0
100,120,0.05,1,0.03,0,0.00017189073426501658,19.409082561704434,0
100,120,0.05,10,0.03,0,0.7902614028971207,15.606625816531482,0
100,120,0.25,0.02,0.03,0,8.821392402281654e-08,19.98800368749402,0
100,120,0.25,1,0.03,0,3.596357688558665,23.005268359528834,0
100,120,0.25,10,0.03,0,18.266324012587337,33.082688426221694,0
100,120,0.8,0.02,0.03,0,0.27982451474075176,20.267828114020855,0
100,120,0.8,1,0.03,0,24.288201446371904,43.69711211734207,0
100,120,0.8,10,0.03,0,57.39836586509897,72.21473027873331,0
100,160,0.05,0.02,0.03,0,0,59.964010797840324,0
100,160,0.05,1,0.03,0,1.74136207816364e-21,58.22673201291049,0
100,160,0.05,10,0.03,0,0.006219462638954978,44.45531270354201,0
100,160,0.25,0.02,0.03,0,4.185239085487121e-41,59.964010797840324,0
100,160,0.25,1,0.03,0,0.3551070068295716,58.58183901974007,0
100,160,0.25,10,0.03,0,12.091907614777023,56.5410008556801,0
100,160,0.8,0.02,0.03,0,5.093793594976643e-05,59.96406173577627,0
